breed,image_path,Question,Answer,question_type
Afghan,train/Afghan/058.jpg,How does the Afghan interact with unfamiliar people and animals?,"A versatile breed, the Afghan combines courage with strong instincts.",general
Afghan,train/Afghan/059.jpg,How does the Afghan interact with unfamiliar people and animals?,"A versatile breed, the Afghan combines adaptability with strong instincts.",general
Afghan,train/Afghan/060.jpg,What makes a Afghan suitable for families?,This breed is a loyal but independent companion and thrives in multi-pet homes.,suitability
Afghan,train/Afghan/061.jpg,What makes a Afghan suitable or unsuitable for first-time owners?,Afghans are known for their endurance and intuitive nature.,general
Afghan,train/Afghan/062.jpg,What grooming requirements are specific to a Afghan?,Afghans are known for their intelligence and unwavering loyalty.,general
Afghan,train/Afghan/063.jpg,What grooming requirements are specific to a Afghan?,Afghans are known for their endurance and intuitive nature.,general
Afghan,train/Afghan/064.jpg,How does the Afghan interact with unfamiliar people and animals?,The Afghan is unique for its blend of athletic and loyal traits.,general
Afghan,train/Afghan/065.jpg,What are the most recognizable personality traits of a Afghan?,"This breed exhibits a stubborn personality, thriving in suburban homes.",temperament
Afghan,train/Afghan/066.jpg,What makes a Afghan suitable for families?,Afghans are sensitive to strangers with children and in city apartments.,suitability
Afghan,train/Afghan/067.jpg,How does the Afghan's temperament make it unique?,"With a balanced disposition, the Afghan fits well with experienced handlers.",temperament
Afghan,train/Afghan/068.jpg,What makes a Afghan suitable for families?,This breed is a loyal but independent companion and thrives in multi-pet homes.,suitability
Afghan,train/Afghan/069.jpg,How does the Afghan interact with unfamiliar people and animals?,"A versatile breed, the Afghan combines gentleness with keen intelligence.",general
Afghan,train/Afghan/070.jpg,What unique challenges come with training a Afghan?,The Afghan is unique for its blend of agile and curious traits.,general
Afghan,train/Afghan/071.jpg,What makes a Afghan suitable for families?,"With its calm demeanor, the Afghan is suitable for large families.",suitability
Afghan,train/Afghan/072.jpg,How does the Afghan interact with unfamiliar people and animals?,The Afghan is unique for its blend of gentle yet alert traits.,general
Afghan,train/Afghan/073.jpg,How does a Afghan perform in dog sports or work roles?,"With its sprint speed, the Afghan is suited for guarding duties.",performance
Afghan,train/Afghan/074.jpg,What makes a Afghan suitable or unsuitable for first-time owners?,"A versatile breed, the Afghan combines courage with strong instincts.",general
Afghan,train/Afghan/075.jpg,What grooming requirements are specific to a Afghan?,Afghans are known for their intelligence and unwavering loyalty.,general
Afghan,train/Afghan/076.jpg,What grooming requirements are specific to a Afghan?,This breed stands out due to its gentle disposition and tracking.,general
Afghan,train/Afghan/077.jpg,What are the historical origins of the Afghan breed?,"Historically, the Afghan was known for palace guard in central Europe.",history
Afghan,train/Afghan/078.jpg,What makes a Afghan suitable for families?,The Afghan is moderately compatible for family life due to its playful demeanor.,suitability
Afghan,train/Afghan/079.jpg,How does a Afghan perform in dog sports or work roles?,The Afghan excels in hunting expertise and is known for endurance.,performance
Afghan,train/Afghan/080.jpg,What makes a Afghan suitable or unsuitable for first-time owners?,The Afghan is unique for its blend of gentle yet alert traits.,general
Afghan,train/Afghan/081.jpg,How does the Afghan's coat affect its care needs?,"Afghans are recognized by their medium, brindle, and their curly tail.",appearance
Afghan,train/Afghan/082.jpg,What are the historical origins of the Afghan breed?,Afghans have a legacy of village protection dating back to ancient times.,history
Afghan,train/Afghan/083.jpg,What are the most recognizable personality traits of a Afghan?,"Afghans are generally energetic, which makes them prefer quiet environments.",temperament
Afghan,train/Afghan/084.jpg,What unique challenges come with training a Afghan?,"A versatile breed, the Afghan combines gentleness with strong instincts.",general
Afghan,train/Afghan/085.jpg,How much exercise does a Afghan need daily?,Maintaining a Afghan involves daily walks and occasional grooming.,care
Afghan,train/Afghan/086.jpg,What unique challenges come with training a Afghan?,"A versatile breed, the Afghan combines adaptability with strong instincts.",general
Afghan,train/Afghan/087.jpg,How does the Afghan's coat affect its care needs?,"Afghans are recognized by their giant, black and tan, and their curly tail.",appearance
Afghan,train/Afghan/088.jpg,How does the Afghan's temperament make it unique?,"Afghans are generally friendly, which makes them adapt well to social settings.",temperament
Afghan,train/Afghan/089.jpg,How does a Afghan perform in dog sports or work roles?,"Historically, Afghans have performed well in tracking trials.",performance
Afghan,train/Afghan/090.jpg,How does the Afghan's temperament make it unique?,"This breed exhibits a loyal personality, thriving in wide-open spaces.",temperament
Afghan,train/Afghan/091.jpg,How does the Afghan's temperament make it unique?,"The Afghan is known for its playful nature, making it better suited to experienced owners.",temperament
Afghan,train/Afghan/092.jpg,How does the Afghan's temperament make it unique?,"Afghans are generally friendly, which makes them prefer quiet environments.",temperament
Afghan,train/Afghan/093.jpg,How much exercise does a Afghan need daily?,Maintaining a Afghan involves light activity and regular brushing.,care
Afghan,train/Afghan/094.jpg,How does a Afghan perform in dog sports or work roles?,This breed is valued for its stamina and therapy assistance.,performance
Afghan,train/Afghan/095.jpg,What are the historical origins of the Afghan breed?,"Bred initially for herding flocks, the Afghan became valued for acute scent detection.",history
Afghan,train/Afghan/096.jpg,What makes a Afghan suitable for families?,"With its calm demeanor, the Afghan is suitable for large families.",suitability
Afghan,train/Afghan/097.jpg,What unique challenges come with training a Afghan?,The Afghan is unique for its blend of agile and curious traits.,general
Afghan,train/Afghan/098.jpg,What are the historical origins of the Afghan breed?,The Afghan traces its origins to Japan where it was used for herding livestock.,history
Afghan,train/Afghan/099.jpg,What are the historical origins of the Afghan breed?,"Historically, the Afghan was known for palace guard in rural America.",history
Afghan,train/Afghan/100.jpg,What grooming requirements are specific to a Afghan?,This breed stands out due to its gentle disposition and tracking.,general
Afghan,train/Afghan/101.jpg,What makes a Afghan suitable or unsuitable for first-time owners?,This breed stands out due to its gentle disposition and guarding.,general
Afghan,train/Afghan/102.jpg,What grooming requirements are specific to a Afghan?,Afghans are known for their endurance and playful energy.,general
Afghan,train/Afghan/103.jpg,What are the most recognizable personality traits of a Afghan?,"The Afghan is known for its independent nature, making it better suited to experienced owners.",temperament
Afghan,train/Afghan/104.jpg,How does the Afghan's temperament make it unique?,"With a balanced disposition, the Afghan fits well with experienced handlers.",temperament
Afghan,train/Afghan/105.jpg,What are the historical origins of the Afghan breed?,"Historically, the Afghan was known for palace guard in rural America.",history
African Wild Dog,train/African Wild Dog/001.jpg,How does the African Wild Dog's temperament make it unique?,"The African Wild Dog is known for its independent nature, making it an excellent family pet.",temperament
African Wild Dog,train/African Wild Dog/002.jpg,What are the defining physical features of a African Wild Dog?,This breed stands out due to its keen senses and tracking.,general
African Wild Dog,train/African Wild Dog/003.jpg,What unique challenges come with training a African Wild Dog?,"A versatile breed, the African Wild Dog combines gentleness with playful nature.",general
African Wild Dog,train/African Wild Dog/004.jpg,What are the historical origins of the African Wild Dog breed?,"Bred initially for protecting estates, the African Wild Dog became valued for agility.",history
African Wild Dog,train/African Wild Dog/005.jpg,What are the most recognizable personality traits of a African Wild Dog?,"African Wild Dogs are generally friendly, which makes them prefer quiet environments.",temperament
African Wild Dog,train/African Wild Dog/006.jpg,How much exercise does a African Wild Dog need daily?,"To keep a African Wild Dog in top shape, regular a mix of exercise and grooming is recommended.",care
African Wild Dog,train/African Wild Dog/007.jpg,What are the most recognizable personality traits of a African Wild Dog?,"African Wild Dogs are generally curious, which makes them adapt well to social settings.",temperament
African Wild Dog,train/African Wild Dog/008.jpg,How does the African Wild Dog's coat affect its care needs?,"The African Wild Dog is famous for its curly coat, which is low maintenance.",appearance
African Wild Dog,train/African Wild Dog/009.jpg,What makes a African Wild Dog suitable for families?,"With its versatile temperament, the African Wild Dog is suitable for large families.",suitability
African Wild Dog,train/African Wild Dog/010.jpg,What are the historical origins of the African Wild Dog breed?,African Wild Dogs have a legacy of family companionship dating back to the medieval period.,history
African Wild Dog,train/African Wild Dog/011.jpg,What grooming requirements are specific to a African Wild Dog?,"A versatile breed, the African Wild Dog combines gentleness with keen intelligence.",general
African Wild Dog,train/African Wild Dog/012.jpg,How does a African Wild Dog perform in dog sports or work roles?,"With its sprint speed, the African Wild Dog is suited for guarding duties.",performance
African Wild Dog,train/African Wild Dog/013.jpg,What makes a African Wild Dog suitable or unsuitable for first-time owners?,"A versatile breed, the African Wild Dog combines adaptability with keen intelligence.",general
African Wild Dog,train/African Wild Dog/014.jpg,What makes a African Wild Dog suitable or unsuitable for first-time owners?,"A versatile breed, the African Wild Dog combines gentleness with keen intelligence.",general
African Wild Dog,train/African Wild Dog/015.jpg,How much exercise does a African Wild Dog need daily?,"To keep a African Wild Dog in top shape, regular frequent vet visits is recommended.",care
African Wild Dog,train/African Wild Dog/016.jpg,How does a African Wild Dog perform in dog sports or work roles?,The African Wild Dog excels in guarding instincts and is known for strength.,performance
African Wild Dog,train/African Wild Dog/017.jpg,What are the defining physical features of a African Wild Dog?,The African Wild Dog is unique for its blend of gentle yet alert traits.,general
African Wild Dog,train/African Wild Dog/018.jpg,What unique challenges come with training a African Wild Dog?,This breed stands out due to its athletic prowess and companionship.,general
African Wild Dog,train/African Wild Dog/019.jpg,How much exercise does a African Wild Dog need daily?,Maintaining a African Wild Dog involves frequent exercise sessions and frequent coat care.,care
African Wild Dog,train/African Wild Dog/020.jpg,How does a African Wild Dog perform in dog sports or work roles?,"With its jumping ability, the African Wild Dog is suited for companion work.",performance
African Wild Dog,train/African Wild Dog/021.jpg,How does a African Wild Dog perform in dog sports or work roles?,This breed is valued for its focus and therapy assistance.,performance
African Wild Dog,train/African Wild Dog/022.jpg,How does the African Wild Dog interact with unfamiliar people and animals?,The African Wild Dog is unique for its blend of agile and curious traits.,general
African Wild Dog,train/African Wild Dog/023.jpg,What are the defining physical features of a African Wild Dog?,The African Wild Dog is unique for its blend of athletic and loyal traits.,general
African Wild Dog,train/African Wild Dog/024.jpg,What grooming requirements are specific to a African Wild Dog?,This breed stands out due to its athletic prowess and tracking.,general
African Wild Dog,train/African Wild Dog/025.jpg,What are the historical origins of the African Wild Dog breed?,"Bred initially for tracking prey, the African Wild Dog became valued for agility.",history
African Wild Dog,train/African Wild Dog/026.jpg,What are the historical origins of the African Wild Dog breed?,The African Wild Dog traces its origins to Germany where it was used for hunting.,history
African Wild Dog,train/African Wild Dog/027.jpg,How does the African Wild Dog's coat affect its care needs?,"This breed stands out due to its 28 inches, 25 lbs, and sharp muzzle.",appearance
African Wild Dog,train/African Wild Dog/028.jpg,How does the African Wild Dog interact with unfamiliar people and animals?,"A versatile breed, the African Wild Dog combines adaptability with strong instincts.",general
African Wild Dog,train/African Wild Dog/029.jpg,How much exercise does a African Wild Dog need daily?,"To keep a African Wild Dog in top shape, regular frequent vet visits is recommended.",care
African Wild Dog,train/African Wild Dog/030.jpg,What unique challenges come with training a African Wild Dog?,African Wild Dogs are known for their endurance and intuitive nature.,general
African Wild Dog,train/African Wild Dog/031.jpg,What unique challenges come with training a African Wild Dog?,African Wild Dogs are known for their intelligence and playful energy.,general
African Wild Dog,train/African Wild Dog/032.jpg,How does a African Wild Dog perform in dog sports or work roles?,This breed is valued for its focus and police work.,performance
African Wild Dog,train/African Wild Dog/033.jpg,What are the defining physical features of a African Wild Dog?,"A versatile breed, the African Wild Dog combines adaptability with keen intelligence.",general
African Wild Dog,train/African Wild Dog/034.jpg,How does the African Wild Dog interact with unfamiliar people and animals?,This breed stands out due to its gentle disposition and guarding.,general
African Wild Dog,train/African Wild Dog/035.jpg,What makes a African Wild Dog suitable or unsuitable for first-time owners?,"A versatile breed, the African Wild Dog combines courage with keen intelligence.",general
African Wild Dog,train/African Wild Dog/036.jpg,How does the African Wild Dog's temperament make it unique?,"The African Wild Dog is known for its playful nature, making it an excellent family pet.",temperament
African Wild Dog,train/African Wild Dog/037.jpg,What unique challenges come with training a African Wild Dog?,This breed stands out due to its gentle disposition and tracking.,general
African Wild Dog,train/African Wild Dog/038.jpg,What unique challenges come with training a African Wild Dog?,This breed stands out due to its athletic prowess and tracking.,general
African Wild Dog,train/African Wild Dog/039.jpg,What grooming requirements are specific to a African Wild Dog?,The African Wild Dog is unique for its blend of agile and curious traits.,general
African Wild Dog,train/African Wild Dog/040.jpg,What are the historical origins of the African Wild Dog breed?,"Bred initially for herding flocks, the African Wild Dog became valued for strength and stamina.",history
African Wild Dog,train/African Wild Dog/041.jpg,What makes a African Wild Dog suitable or unsuitable for first-time owners?,African Wild Dogs are known for their endurance and intuitive nature.,general
African Wild Dog,train/African Wild Dog/042.jpg,What are the defining physical features of a African Wild Dog?,This breed stands out due to its athletic prowess and tracking.,general
African Wild Dog,train/African Wild Dog/043.jpg,What unique challenges come with training a African Wild Dog?,The African Wild Dog is unique for its blend of athletic and loyal traits.,general
African Wild Dog,train/African Wild Dog/044.jpg,How does the African Wild Dog's coat affect its care needs?,A defining characteristic of the African Wild Dog is its long fur and a unique mask pattern.,appearance
African Wild Dog,train/African Wild Dog/045.jpg,What are the historical origins of the African Wild Dog breed?,"Bred initially for protecting estates, the African Wild Dog became valued for strength and stamina.",history
African Wild Dog,train/African Wild Dog/046.jpg,How does a African Wild Dog perform in dog sports or work roles?,The African Wild Dog excels in guarding instincts and is known for endurance.,performance
African Wild Dog,train/African Wild Dog/047.jpg,How does the African Wild Dog interact with unfamiliar people and animals?,The African Wild Dog is unique for its blend of athletic and loyal traits.,general
African Wild Dog,train/African Wild Dog/048.jpg,How does the African Wild Dog's coat affect its care needs?,"The African Wild Dog is famous for its smooth coat, which is moderate grooming needs.",appearance
African Wild Dog,train/African Wild Dog/049.jpg,How does the African Wild Dog's coat affect its care needs?,"The African Wild Dog is famous for its curly coat, which is moderate grooming needs.",appearance
African Wild Dog,train/African Wild Dog/050.jpg,What are the defining physical features of a African Wild Dog?,The African Wild Dog is unique for its blend of gentle yet alert traits.,general
African Wild Dog,train/African Wild Dog/051.jpg,What makes a African Wild Dog suitable or unsuitable for first-time owners?,The African Wild Dog is unique for its blend of athletic and loyal traits.,general
African Wild Dog,train/African Wild Dog/052.jpg,What unique challenges come with training a African Wild Dog?,The African Wild Dog is unique for its blend of agile and curious traits.,general
African Wild Dog,train/African Wild Dog/053.jpg,How much exercise does a African Wild Dog need daily?,Maintaining a African Wild Dog involves light activity and frequent coat care.,care
African Wild Dog,train/African Wild Dog/054.jpg,What makes a African Wild Dog suitable for families?,The African Wild Dog is highly suitable for family life due to its protective instincts.,suitability
African Wild Dog,train/African Wild Dog/055.jpg,How does the African Wild Dog interact with unfamiliar people and animals?,African Wild Dogs are known for their endurance and unwavering loyalty.,general
African Wild Dog,train/African Wild Dog/056.jpg,What makes a African Wild Dog suitable or unsuitable for first-time owners?,This breed stands out due to its athletic prowess and guarding.,general
African Wild Dog,train/African Wild Dog/057.jpg,How does the African Wild Dog's temperament make it unique?,"This breed exhibits a affectionate personality, thriving in suburban homes.",temperament
African Wild Dog,train/African Wild Dog/058.jpg,What are the most recognizable personality traits of a African Wild Dog?,"The African Wild Dog is known for its protective nature, making it better suited to experienced owners.",temperament
African Wild Dog,train/African Wild Dog/059.jpg,What makes a African Wild Dog suitable or unsuitable for first-time owners?,This breed stands out due to its gentle disposition and companionship.,general
African Wild Dog,train/African Wild Dog/060.jpg,What are the defining physical features of a African Wild Dog?,This breed stands out due to its gentle disposition and tracking.,general
African Wild Dog,train/African Wild Dog/061.jpg,What makes a African Wild Dog suitable for families?,African Wild Dogs are best with older kids with children and in spacious homes.,suitability
African Wild Dog,train/African Wild Dog/062.jpg,What grooming requirements are specific to a African Wild Dog?,"A versatile breed, the African Wild Dog combines courage with keen intelligence.",general
African Wild Dog,train/African Wild Dog/063.jpg,What are the defining physical features of a African Wild Dog?,"A versatile breed, the African Wild Dog combines gentleness with keen intelligence.",general
African Wild Dog,train/African Wild Dog/064.jpg,What makes a African Wild Dog suitable or unsuitable for first-time owners?,African Wild Dogs are known for their intelligence and playful energy.,general
African Wild Dog,train/African Wild Dog/065.jpg,What unique challenges come with training a African Wild Dog?,This breed stands out due to its keen senses and tracking.,general
African Wild Dog,train/African Wild Dog/066.jpg,How much exercise does a African Wild Dog need daily?,Maintaining a African Wild Dog involves light activity and frequent coat care.,care
African Wild Dog,train/African Wild Dog/067.jpg,What are the historical origins of the African Wild Dog breed?,"Bred initially for herding flocks, the African Wild Dog became valued for acute scent detection.",history
African Wild Dog,train/African Wild Dog/068.jpg,How does the African Wild Dog's coat affect its care needs?,A defining characteristic of the African Wild Dog is its short fur and striped coat.,appearance
African Wild Dog,train/African Wild Dog/069.jpg,How does the African Wild Dog's coat affect its care needs?,"The African Wild Dog is famous for its wiry coat, which is low maintenance.",appearance
African Wild Dog,train/African Wild Dog/070.jpg,How does the African Wild Dog's temperament make it unique?,"African Wild Dogs are generally curious, which makes them adapt well to social settings.",temperament
African Wild Dog,train/African Wild Dog/071.jpg,How much exercise does a African Wild Dog need daily?,"To keep a African Wild Dog in top shape, regular tailored nutrition is recommended.",care
African Wild Dog,train/African Wild Dog/072.jpg,How does the African Wild Dog interact with unfamiliar people and animals?,The African Wild Dog is unique for its blend of gentle yet alert traits.,general
African Wild Dog,train/African Wild Dog/073.jpg,How does the African Wild Dog's coat affect its care needs?,"African Wild Dogs are recognized by their large, black and tan, and their curly tail.",appearance
African Wild Dog,train/African Wild Dog/074.jpg,How does the African Wild Dog's temperament make it unique?,"African Wild Dogs are generally reserved, which makes them prefer quiet environments.",temperament
African Wild Dog,train/African Wild Dog/075.jpg,How does the African Wild Dog's coat affect its care needs?,"The African Wild Dog is famous for its smooth coat, which is low maintenance.",appearance
African Wild Dog,train/African Wild Dog/076.jpg,How does the African Wild Dog interact with unfamiliar people and animals?,The African Wild Dog is unique for its blend of athletic and loyal traits.,general
African Wild Dog,train/African Wild Dog/077.jpg,How does the African Wild Dog's temperament make it unique?,"African Wild Dogs are generally friendly, which makes them adapt well to social settings.",temperament
African Wild Dog,train/African Wild Dog/078.jpg,How does the African Wild Dog interact with unfamiliar people and animals?,African Wild Dogs are known for their intelligence and playful energy.,general
African Wild Dog,train/African Wild Dog/079.jpg,What makes a African Wild Dog suitable or unsuitable for first-time owners?,This breed stands out due to its keen senses and tracking.,general
African Wild Dog,train/African Wild Dog/080.jpg,What are the historical origins of the African Wild Dog breed?,"Bred initially for herding flocks, the African Wild Dog became valued for agility.",history
African Wild Dog,train/African Wild Dog/081.jpg,What grooming requirements are specific to a African Wild Dog?,African Wild Dogs are known for their loyalty and intuitive nature.,general
African Wild Dog,train/African Wild Dog/082.jpg,What are the historical origins of the African Wild Dog breed?,The African Wild Dog traces its origins to United States where it was used for hunting.,history
African Wild Dog,train/African Wild Dog/083.jpg,What are the defining physical features of a African Wild Dog?,African Wild Dogs are known for their loyalty and playful energy.,general
African Wild Dog,train/African Wild Dog/084.jpg,What are the historical origins of the African Wild Dog breed?,"Historically, the African Wild Dog was known for palace guard in central Europe.",history
African Wild Dog,train/African Wild Dog/085.jpg,How does the African Wild Dog's temperament make it unique?,"The African Wild Dog is known for its protective nature, making it better suited to experienced owners.",temperament
African Wild Dog,train/African Wild Dog/086.jpg,How does a African Wild Dog perform in dog sports or work roles?,"Historically, African Wild Dogs have performed well in tracking trials.",performance
African Wild Dog,train/African Wild Dog/087.jpg,What makes a African Wild Dog suitable or unsuitable for first-time owners?,"A versatile breed, the African Wild Dog combines adaptability with strong instincts.",general
African Wild Dog,train/African Wild Dog/088.jpg,What unique challenges come with training a African Wild Dog?,The African Wild Dog is unique for its blend of agile and curious traits.,general
African Wild Dog,train/African Wild Dog/089.jpg,How does a African Wild Dog perform in dog sports or work roles?,"With its stamina, the African Wild Dog is suited for hunting tasks.",performance
African Wild Dog,train/African Wild Dog/090.jpg,How does the African Wild Dog interact with unfamiliar people and animals?,"A versatile breed, the African Wild Dog combines gentleness with strong instincts.",general
African Wild Dog,train/African Wild Dog/091.jpg,How does the African Wild Dog's temperament make it unique?,"The African Wild Dog is known for its gentle nature, making it better suited to experienced owners.",temperament
African Wild Dog,train/African Wild Dog/092.jpg,What are the historical origins of the African Wild Dog breed?,African Wild Dogs have a legacy of village protection dating back to the 19th century.,history
African Wild Dog,train/African Wild Dog/093.jpg,How does the African Wild Dog interact with unfamiliar people and animals?,This breed stands out due to its athletic prowess and companionship.,general
African Wild Dog,train/African Wild Dog/094.jpg,How does the African Wild Dog's temperament make it unique?,"With a calm and patient disposition, the African Wild Dog fits well with active owners.",temperament
African Wild Dog,train/African Wild Dog/095.jpg,What makes a African Wild Dog suitable for families?,This breed is an ideal family pet and thrives in quiet environments.,suitability
African Wild Dog,train/African Wild Dog/096.jpg,How does a African Wild Dog perform in dog sports or work roles?,"With its sprint speed, the African Wild Dog is suited for hunting tasks.",performance
African Wild Dog,train/African Wild Dog/097.jpg,What are the defining physical features of a African Wild Dog?,This breed stands out due to its gentle disposition and tracking.,general
